Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week)
17.0,Female,45.1992389773449,1.7843945673493287,174,125.0,50.0,1.3557757458277404,1159.962021882048,HIIT,30.8,3.4,3
33.0,Male,83.13163396241849,1.5289145995053077,194,124.0,70.0,1.345870749608248,641.7153438373447,Strength,23.6,3.3,2
37.0,Female,83.88275225319929,1.7190170368863507,196,135.0,68.0,1.234869801508923,894.6998208105015,Strength,27.2,3.2,3
38.0,Female,59.3461888816184,1.7472651169064521,170,151.0,66.0,0.9416562058957166,1292.1893240004943,Strength,26.9,2.9,4
15.0,Female,42.02200545199617,1.941057921998797,163,164.0,68.0,1.9409271405013726,1194.99658231211,Strength,18.5,3.2,2
24.0,Male,44.423545262918694,1.9204856762661842,174,159.0,50.0,1.1868942585512767,1473.5933838406265,Yoga,25.7,2.5,4
40.0,Female,69.75328989539605,1.7016152416310049,179,126.0,74.0,1.1356704963979616,1039.3575603016063,Cardio,22.9,3.1,4
27.0,Female,44.75044359387523,1.6598379435795807,191,169.0,56.0,1.960232213545867,699.9338062096202,Yoga,23.2,2.8,5
17.0,Female,79.10013479149312,1.7804255700466778,168,125.0,54.0,1.2315484516970188,588.7436961524276,HIIT,25.1,2.4,3
45.0,Female,96.06104694964611,1.688187491958331,171,132.0,72.0,1.8326592148309961,1084.1921118881858,Cardio,30.4,3.6,3
23.0,Male,68.79704339093759,1.6710833150015985,165,160.0,53.0,1.0068597679700018,787.5274015863483,HIIT,23.5,2.1,3
41.0,Male,44.38380772973825,1.5103906422756987,193,128.0,74.0,1.01765982070642,908.4081958358413,Strength,21.1,2.4,2
43.0,Female,38.45174387837791,1.5986463527509418,199,144.0,70.0,1.1750899722943506,966.4649089091059,HIIT,15.3,2.706644144,3
32.0,Male,93.59739551595581,1.6985471126340659,190,133.0,56.0,1.2907805170293023,1138.751811814334,Cardio,22.1,3.2,3
16.0,Male,45.88299002613872,1.7192071830670108,170,137.0,58.0,1.3671359607761726,800.2531249797238,Strength,23.5,3.7,2
28.0,Male,59.612563926685425,1.943548108409975,187,140.0,58.0,1.5655651349970328,828.351995314445,HIIT,29.7,3.1,5
21.0,Female,88.72515520997334,1.8742563146250948,170,162.0,74.0,0.8882671403142588,718.726358534546,HIIT,22.7,2.8,2
32.0,Male,79.9981412321254,1.5697510546737106,163,125.0,74.0,1.4006863184552074,751.4681387150549,Cardio,24.0,2.4,3
23.0,Female,120.24281598879081,1.7704877420220664,191,151.0,72.0,1.0296096390906668,470.35070833337005,Strength,24.3,1.5,2
28.0,Male,63.74589278589033,1.5103042846524404,185,155.0,74.0,1.2759203247499227,1111.5968137677728,Cardio,31.4,3.4,4
51.0,Female,52.05663787230154,1.7462381108151452,182,125.0,58.0,1.4060790061684207,1203.1577973842254,Yoga,21.1,1.5,3
45.0,Male,64.91369995332371,1.9109422325040706,172,167.0,70.0,1.5275706323330311,645.53141230941,Strength,17.2,2.6,5
54.0,Female,45.931061816556614,1.7124294602299384,192,169.0,62.0,1.6173196730666133,1243.3919160122937,Cardio,32.8,1.7,3
35.0,Female,76.02337333735197,1.773538521186665,171,124.0,74.0,0.6767391685555046,973.1310235370449,Cardio,21.9,2.1,5
22.0,Male,53.268030955661345,1.8803868847675866,190,137.0,54.0,1.6970883535484995,1130.3657672369511,HIIT,30.5,1.9,5
19.0,Female,37.99260521189628,1.8864781450192554,166,169.0,57.0,1.4027862621715312,1629.4858357531534,Strength,17.4,2.1,2
20.0,Female,97.9616674663055,1.739724628322361,190,135.0,54.0,1.0444701890778352,1249.8471831584445,Cardio,28.0,2.3,3
46.0,Male,113.40757405967906,1.6961898428786801,166,146.0,58.0,1.5343594223609451,827.6283639616172,HIIT,31.2,2.6,3
30.0,Female,41.20344584669616,1.7929099739373573,192,169.0,56.0,2.184666894978405,596.3685196980813,HIIT,28.0,3.4,3
21.0,Female,53.006062595276596,1.6525538671337756,177,164.0,53.0,0.6271770011955189,1052.2116816252412,HIIT,23.3,2.9,3
55.0,Female,71.93591902999295,1.8269616160126956,175,150.0,58.0,1.2389282336813625,894.9770887012405,Cardio,29.2,2.5,4
18.0,Female,92.24414580144054,1.720765506608339,198,142.0,74.0,1.2658697228119649,872.0995508961486,Cardio,18.1,3.2,4
49.0,Male,38.746922308781365,1.53180989805062,169,152.0,63.0,1.8006961988834074,1062.7229239454077,Strength,24.9,1.5,4
21.0,Female,52.752320557336574,1.8260438084168007,185,164.0,73.0,1.1810713022502044,1066.8533227755931,Yoga,27.0,1.5,3
45.0,Female,68.811119127286,1.7520037536325186,182,159.0,66.0,1.6852865942921782,1234.9728637427131,Cardio,23.2,2.4,2
47.0,Female,94.02619584106822,1.7077889911969681,184,123.0,62.0,1.3181847700329146,1137.6947616681834,Yoga,15.1,1.7,4
18.0,Female,97.48075907334349,1.81191088982309,199,169.0,56.0,1.83398256806326,1132.0183341398179,Strength,14.4,2.706644144,2
24.0,Male,57.507965105367745,1.5892783527613379,177,124.0,66.0,0.8627218441104363,447.26565897979225,Strength,22.5,2.706644144,5
31.0,Female,46.37807066875827,1.5468158566415608,191,146.259322,59.0,1.6510674569363764,813.2838026881581,HIIT,22.2,1.6,3
13.0,Female,82.85429040341701,1.6585685860778783,162,169.0,70.0,1.6635394802665442,1316.5240471882037,Cardio,12.1,1.7,2
16.0,Female,55.186163768270006,1.9691645240330766,181,123.0,72.0,2.043239756862246,968.6443672291482,HIIT,23.2,2.4,4
19.0,Female,65.59768325719095,1.7983476009239248,169,130.0,74.0,1.1274312073702535,1278.973093303983,Cardio,25.4,3.3,2
32.0,Male,94.56838023917899,1.727054570964105,195,158.0,70.0,1.3976941439864783,1150.1356541982773,Strength,12.3,3.6,3
46.0,Female,39.914391366203866,1.9927024239631497,194,159.0,70.0,1.4170974097737457,393.9799070677157,Cardio,13.5,2.5,4
43.0,Male,64.48331055096874,1.8986587313361047,192,125.0,50.0,1.3313410593959574,1203.8654557689208,Yoga,30.6,2.3,3
24.0,Female,72.0767332248814,1.6138286865292828,168,162.0,64.0,1.2299350067931156,414.10680161465564,Strength,22.7,2.4,4
24.0,Female,69.20584160280926,1.8623991069409156,168,127.0,68.0,1.3231112448149855,1191.7972631311509,Yoga,24.1,2.9,5
50.0,Male,99.05653965404682,1.7552145272474597,181,130.0,63.0,1.2030098308921957,1076.4549178468728,Strength,28.2,2.3,3
34.0,Male,72.54984568245224,1.7965202771302933,164,169.0,74.0,2.160331410166051,1089.5102684749436,HIIT,28.7,3.3,2
24.0,Male,63.63392283782986,1.8031301509036495,187,155.0,74.0,1.952352899608633,446.92332866781555,Yoga,27.7,1.5,3
22.0,Female,58.268148120268705,1.599661011274275,182,139.0,68.0,1.0448148999540738,699.9681525704507,Yoga,16.7,1.5,3
19.0,Female,64.75919112906409,1.6155352813074715,193,162.0,56.0,1.4598620585246602,579.3905893370717,Cardio,17.6,1.6,5
27.0,Female,77.45824586338948,1.7941329040298386,177,130.0,50.0,1.3483367797784698,552.2227099823176,Cardio,23.2,1.7,3
35.0,Female,82.42940748710109,1.7874485737340302,195,143.0,72.0,1.0187594005976865,749.8477010106792,HIIT,22.5,2.5,3
27.0,Female,80.27533921078134,1.8920239586815806,180,131.0,55.0,0.8592026031452578,998.9163688417036,Strength,16.2,2.3,3
30.0,Female,70.865560705298,1.7574362136164046,164,120.0,74.0,1.3193391818044813,434.42765418408726,Strength,25.4,2.6,3
16.0,Female,90.54788591264798,1.679358667099571,182,134.0,56.0,1.7623437935523074,937.8441043167535,Yoga,10.0,1.8,4
21.0,Male,76.72061473315307,1.90575737665718,191,127.0,62.0,1.6639536742168635,1372.6853776320718,Yoga,23.9,1.5,2
19.0,Male,42.61179910368288,1.9836774238700299,173,133.0,74.0,1.952981301583484,916.4310209247811,Cardio,18.8,2.3,2
48.0,Male,87.07053277448706,1.676567710880105,164,160.0,63.0,1.2997687287767765,969.2034502225374,Yoga,22.4,3.6,5
26.0,Male,47.86592032008496,1.7295546562493196,175,126.0,59.0,1.2773177865426504,1775.9002710653824,Strength,26.1,1.5,2
43.0,Female,75.14769915275237,1.7561901892733776,194,165.0,52.0,1.8463948705921793,988.8974426503978,Cardio,24.3,3.1,3
16.0,Female,48.75266129755565,1.5016421736466135,175,149.0,66.0,1.9836665412568615,745.4474769311306,Yoga,25.2,2.0,3
33.0,Male,82.93604448968851,1.7728312376689535,168,132.0,74.0,1.5410768662378909,498.7067961024413,Strength,23.9,3.4,4
36.0,Male,87.68729167381434,1.7657128632844357,183,130.0,74.0,1.6320414086442538,1251.704805084464,HIIT,24.2,1.6,3
18.0,Female,43.5426132218492,1.9766522992644335,193,142.0,50.0,0.9344106460068736,1446.7058424018314,Strength,29.7,3.6,2
48.0,Male,54.06580173329509,1.5263148453409356,184,167.0,50.0,1.8452211438138815,1154.052778815327,Strength,14.6,3.5,5
54.0,Male,44.795625788624605,1.6447638525290729,161,138.0,60.0,1.0025565424182616,1249.3114237115767,HIIT,32.2,2.5,4
24.0,Male,81.27763417842078,1.7227193389943205,184,169.0,61.0,1.9608562482594036,990.5253695110746,Strength,24.9,3.4,2
31.0,Male,49.69082496702741,1.7312955952978402,180,128.0,61.0,1.9261098091701834,1017.2605080902282,Strength,15.0,2.5,4
47.0,Female,36.53150502331937,1.7944187142321983,180,127.0,54.0,1.5987846546532616,1359.1336414777893,HIIT,27.2,2.4,5
25.0,Female,51.16705885882064,1.9919662475002655,174,129.0,68.0,1.4048175366966869,1045.6831687241443,HIIT,31.0,2.0,5
34.0,Female,86.8949520425664,1.8549644590994152,174,152.0,74.0,1.1425281663640314,817.741080358268,Strength,12.8,2.4,5
48.0,Male,54.53132251780545,1.6529049841796255,167,144.0,69.0,1.9248644240536634,876.8795419787562,Strength,16.4,2.5,4
46.0,Male,83.23503916883,1.7217269706454348,164,160.0,63.0,1.3057427417587937,946.2298826398433,Yoga,22.4,3.6,5
20.0,Male,52.46778622430051,1.7565152878365362,187,131.0,74.0,0.9823404335687416,644.619323100443,HIIT,23.50936099,3.2,3
18.0,Male,74.07024835036651,1.854579314636316,172,153.0,56.0,1.2188357066040731,521.7301285082297,Cardio,15.6,3.4,5
47.0,Male,70.39680530521781,1.7884652037713311,171,169.0,59.0,1.6150717196856295,1531.5052933213424,HIIT,17.0,3.5,5
52.0,Male,63.54819475729937,1.727812135511535,182,161.0,50.0,1.604744842611738,1526.4494228104415,HIIT,28.7,3.5,3
52.0,Female,60.65261208116675,1.7164841542552356,184,124.0,74.0,1.8654591732098422,526.0903871935911,tYoga,27.9,3.0,4
40.0,Male,73.3310030710306,1.946484159546992,188,131.0,69.0,1.955890450171918,1158.2146439238713,Strength,33.1,1.5,3
45.0,Male,85.0703861243702,1.7130373595802597,164,160.0,63.0,1.2839015473976056,1055.7809823199286,Yoga,22.4,3.6,5
32.0,Male,62.37553068805459,1.5972646808510405,192,152.0,70.0,1.2937268593209228,1202.9315114342423,Yoga,18.3,3.2,2
45.0,Male,61.1563293730414,1.700987909306875,164,132.0,50.0,2.192544447251861,1275.1456936542625,HIIT,26.6,3.1,2
31.0,Female,61.686736086294374,1.8365467571920373,183,141.0,72.0,0.9418601020865868,1267.55531586849,HIIT,31.4,2.6,4
34.0,Female,62.89619770853978,1.9098463434166921,182,163.0,72.0,1.4554276666314518,1236.3733680932703,Yoga,26.0,3.4,5
53.0,Female,55.83369956236533,1.5558213964820902,182,169.0,74.0,1.7315412359571294,566.4557821608223,Cardio,19.7,3.4,3
21.0,Female,125.58045130634368,1.7688301317145085,168,135.0,50.0,1.1799684274791196,1202.7972578830447,HIIT,25.1,2.0,3
58.0,Female,137.18309351867435,1.8584462057358027,162,148.0,56.0,1.5743482701985925,1193.66825022877,Strength,24.0,1.8,3
35.0,Female,40.09792779478819,1.683070945507334,176,134.0,57.0,1.87604917358636,814.3635273655101,Strength,27.2,2.7,3
45.0,Male,78.33744550643458,1.6719122290899828,166,152.0,54.0,1.2930201946793272,1307.9247535768393,Cardio,21.3,2.5,2
23.0,Female,47.96366197722008,1.7110172418293377,193,136.0,62.0,2.1030088153337076,1418.8055795632208,Strength,22.0,3.5,3
51.0,Female,89.45879121177266,1.6479857826131035,171,132.0,72.0,1.9710713692620971,1130.1943524342544,Cardio,30.4,3.6,3
50.0,Female,51.71549739564622,1.7079447425481817,164,169.0,73.0,0.7476235639109389,641.5894660506741,Cardio,28.0,1.6,2
55.0,Female,64.33985455967189,1.977026474076297,162,150.0,55.0,1.244466303096673,1149.941545641847,Strength,16.7,3.4,3
19.0,Male,50.568052710958014,1.6236348048725653,170,169.0,72.0,1.4710955181836178,776.1028298064087,Cardio,24.7,3.4,3
34.0,Male,74.47663511317555,1.74731827943146,192,153.0,50.0,0.5994497811265943,1265.4745842890854,Strength,31.7,1.5,3
15.0,Female,63.50273586569092,1.7181279917163272,191,157.0,63.0,1.200734836485932,437.6260987641344,Strength,26.3,2.2,3
53.0,Male,110.3692874861667,1.7392185952751036,185,138.0,73.0,1.5848396664344204,603.01761157779,Strength,25.5,1.8,4
52.0,Female,96.08822383652122,1.654618082161758,171,132.0,72.0,1.9484429168731174,1240.5176720765683,Cardio,30.4,3.6,3
16.0,Male,60.89731766386309,1.7332241371728008,181,120.0,73.0,1.4822933743989066,1155.0731055971655,Cardio,29.6,3.5,3
24.0,Male,50.18741641422696,1.706605147442154,195,153.0,59.0,1.2644818763435033,1320.1161382021987,Cardio,24.7,3.4,3
55.0,Male,73.3066159329249,1.5086660240875691,165,152.0,74.0,1.8391140640028039,805.765223677749,Yoga,28.9,3.3,3
21.0,Female,56.34420277099168,1.5502119799292116,184,141.0,63.95115104,1.7625473393156137,1015.9804405823119,Yoga,25.2,3.7,2
25.0,Female,84.5895487194168,1.4934391458984486,194,142.0,63.0,1.8160537158758618,754.035415385639,Yoga,25.8,2.9,4
18.0,Female,50.26786932527462,1.8685538374163662,166,130.0,59.0,1.49348990460431,798.8612128577228,Yoga,21.6,1.5,4
20.0,Male,85.29230683485281,1.7330303838757615,176,139.0,60.0,2.0742993927627236,894.9386611606424,Cardio,31.0,2.4,4
25.0,Male,65.40325930728336,1.8037172586410362,185,169.0,59.0,1.3793067726549277,1534.2466059471217,Cardio,18.9,3.4,5
51.0,Female,58.8654801614604,1.7823951112606131,196,165.0,58.0,0.9103720252261766,606.6606376167458,Cardio,15.9,3.3,4
25.0,Male,61.83829183891035,1.7097109949653886,184,161.0,51.0,1.7144557179220505,649.7100570903881,Cardio,27.5,3.5,4
32.0,Male,56.98352264494859,1.7647446666014532,170,130.0,74.0,2.0494236238466073,1114.664417911453,Yoga,24.3,1.5,5
27.0,Female,39.692013890396055,1.8134349956252251,177,156.0,65.0,1.4283486988057124,999.5389910203461,Cardio,24.0,3.7,5
30.0,Male,50.501572109446,1.7126548222879927,182,153.0,68.0,1.6619036541927075,1430.6897096838193,Yoga,20.2,1.5,4
30.0,Female,42.93090656417687,1.7306682583113222,176,158.0,74.0,2.1704744746423095,859.5698413544297,Strength,27.0,2.1,3
40.0,Male,58.02792724494242,1.7509977566311667,194,153.0,65.0,1.8350134696766067,1271.698093461517,Strength,22.2,3.2,4
51.0,Male,70.90955124466662,1.6306209608203697,173,139.0,59.0,0.9402940018757787,569.5885279695328,Cardio,20.5,2.7,3
61.0,Male,85.34106850066023,1.5172820205664737,185,121.0,70.0,1.6912394392852197,707.2980840752388,Strength,28.5,2.2,4
52.0,Male,74.92731196695483,1.6863380025386296,181,161.0,57.0,1.3568903013072497,855.6582248414707,Yoga,29.9,3.6,3
45.0,Female,48.904966801136496,1.5281610533432768,199,158.0,50.0,0.746826311637658,1039.2213057818815,Strength,21.9,3.6,4
15.0,Male,84.19016248486881,1.7945080075937476,194,145.0,64.0,1.8105866778847923,622.6386332974871,Cardio,30.3,3.3,3
23.0,Male,86.9621130545872,1.6202595536203817,173,127.0,72.0,0.8767879602293851,809.7345244051077,HIIT,24.0,3.3,5
23.0,Male,39.390159284601495,1.6781014298370165,166,128.0,59.0,1.4615798248619716,1166.6290052086129,Yoga,10.0,2.6,4
46.0,Female,95.40560671549598,1.7874292242646543,178,158.0,56.0,1.1197021812075514,786.5472126544088,Cardio,25.3,2.0,2
21.0,Male,43.68607818383601,1.709842878728119,180,156.0,74.0,1.6068529150018216,1404.1590879214973,HIIT,26.2,3.2,4
52.0,Male,93.4555823028797,1.998522153035974,192,169.0,50.0,1.2836942144873944,1622.0575263846238,Strength,23.2,2.3,3
22.0,Male,63.10409870849571,1.695589118900655,187,128.0,54.0,0.7297333756780829,1111.0262263509123,Cardio,10.0,3.3,4
33.0,Female,56.137584523028856,1.765019769586855,198,165.0,67.0,1.6028241304811692,803.9287612026272,Strength,20.9,3.3,4
23.0,Female,70.8085505035222,1.6644244256748686,168,162.0,64.0,1.3386175615124962,460.4546396210072,Strength,22.7,2.4,4
44.0,Male,52.6969724738176,1.6162086949811023,170,166.0,52.0,0.92977519671228,1238.408040187914,Cardio,34.4,1.8,2
41.0,Female,47.784269063772236,1.6878027510081495,169,146.259322,72.0,1.5819049635518603,864.1380057836016,Cardio,32.5,3.6,3
21.0,Male,85.39979064053512,1.697523176908216,176,139.0,60.0,1.9405529410961155,900.2730525539142,Cardio,31.0,2.4,4
27.0,Male,43.37229276804215,1.6458509784071025,164,159.0,68.0,1.941320024387907,1431.4669384531378,Yoga,15.8,2.5,4
32.0,Female,45.95656342649181,1.6106070683655767,168,164.0,73.0,1.0685560333729045,891.836924741113,Yoga,28.8,2.5,4
49.0,Male,48.50706787648923,1.7562545063198152,161,169.0,61.0,1.5045078044511737,892.233736124599,Strength,25.8,3.0,4
58.0,Female,38.34866323966935,1.8701034795477076,194,158.0,67.0,1.35087294639045,1463.2488716608452,Yoga,30.6,1.9,4
53.0,Male,78.2684019334202,1.617745273217607,183,135.0,50.0,1.2579072559302262,1074.5294650658186,Cardio,27.3,2.9,4
16.0,Female,71.84580339723608,1.6965338257068159,180,169.0,56.0,1.9759127857968428,998.5094632792977,HIIT,27.0,3.0,3
18.0,Male,41.244145020287604,1.6392791429382154,177,134.0,53.0,1.0665836484871187,507.82797908787484,Strength,25.6,2.1,3
30.0,Female,42.661919606138014,1.8485312686655735,177,156.0,65.0,1.6046768009517065,1085.9431178176055,Cardio,24.0,3.7,5
19.0,Male,82.87976320699714,1.601067685627445,177,169.0,73.0,0.9563849509295341,781.561551366192,Yoga,25.0,3.5,2
50.0,Female,50.81218702513215,1.6932566411176566,163,169.0,56.0,1.2970325452536964,1152.5363547750194,HIIT,27.6,2.4,4
28.0,Male,88.32642997104722,1.6033670178903003,161,150.0,52.0,1.271482086231458,1404.625015696069,Cardio,23.8,2.6,3
49.0,Male,49.44342686205748,1.8336144155211593,177,163.0,63.0,1.4317809054681527,1109.6069558773438,Yoga,33.7,3.7,2
33.0,Male,39.9588974888844,1.905158881809126,196,162.0,58.0,1.663334210278156,1051.4795882737224,Yoga,30.4,2.6,3
36.47541899,Female,78.56752497284897,1.7880914421426237,195,146.0,73.0,1.2142039966362423,672.1378637921695,HIIT,14.1,2.7,2
18.0,Female,68.20140342493629,1.6224893301345402,192,162.0,50.0,0.5704464895322617,1144.5094763371574,Cardio,27.1,2.6,2
53.0,Female,67.21137815412183,1.7576092473127547,198,140.0,50.0,1.8644244205404263,1612.2751539096903,Strength,18.2,3.6,4
28.0,Female,91.85601554108145,1.6771649458657423,176,149.0,60.0,1.4427556001550514,1392.1256718199452,HIIT,27.2,2.1,3
39.0,Male,79.73947915470943,1.7320596308026626,183,130.0,74.0,1.6340176040128,1225.06748685899,HIIT,24.2,1.6,3
30.0,Male,98.80132130053416,1.5964036702862652,176,143.0,55.0,1.5165244180158337,1170.596981502863,Strength,24.5,2.4,4
42.0,Male,37.71160920847292,1.9158293753677942,177,139.0,69.0,1.2956753877902372,1007.5524381421262,HIIT,26.7,3.3,3
25.0,Male,65.10947034170435,1.7324861027576883,163,156.0,59.0,1.8929799331205084,1464.3360411063213,Cardio,21.5,3.4,2
45.0,Female,95.6535985775778,1.6860684365185845,186,120.0,74.0,1.4982457570440053,551.8723056871088,Strength,32.0,2.7,3
20.0,Male,78.5934826907453,2.02586117001596,190,131.0,56.0,1.4254671844214342,965.4239471663182,Cardio,12.6,3.6,2
28.0,Female,93.76916913794064,1.6404773001237565,184,166.0,50.0,1.4483015442060698,1112.7291922005606,Strength,31.3,2.0,5
27.0,Male,57.37249414277439,1.7612567909702563,198,124.0,70.0,1.4127831323422335,1391.7005841251084,Cardio,24.8,2.0,2
43.0,Female,83.70903692739421,1.5677770098981147,180,157.0,54.0,0.8737636638698135,818.4155338948859,Cardio,26.3,1.9,5
27.0,Female,69.16798794232537,1.7898455473176138,187,120.0,74.0,1.1761129359167948,820.3105306493572,Cardio,21.4,2.3,5
51.0,Female,40.714778550509436,1.735406304721343,181,169.0,73.0,1.469916524229213,298.5442808443137,Yoga,28.3,1.6,3
32.0,Male,81.34459974461768,1.6984817199247175,191,155.0,54.0,1.2720969159080309,1009.1423918153155,Strength,27.2,2.2,4
34.0,Female,131.13309217725026,1.6759863671165376,168,152.0,74.0,1.7024883661044552,865.0274636848084,Strength,27.5,3.5,3
48.0,Male,54.71019296003766,1.8974081915663477,196,165.0,55.0,1.3335739013790464,907.0979226971617,Strength,26.9,2.6,3
38.0,Male,86.72057052392337,1.7268774702743745,180,146.259322,70.0,2.0829125206566372,1642.9115873066921,Cardio,22.6,2.3,4
52.0,Female,51.534535013275395,1.720351750906122,164,169.0,73.0,0.7715282162095375,568.0705005894549,Cardio,28.0,1.6,2
21.0,Male,36.68228966532103,1.903194056731039,161,146.259322,74.0,1.5211715461073445,1249.2106830299078,Strength,23.7,3.3,4
21.0,Male,94.61282049826681,1.568284057286593,172,164.0,60.0,0.8221441075175903,724.1464570676073,Strength,25.0,3.2,4
49.0,Male,59.1576146857916,1.801354122178108,186,121.0,72.0,2.150087730574546,560.3143195372169,Cardio,26.2,2.706644144,3
16.0,Male,72.1220426609537,1.741366656948721,170,135.0,62.0,1.266776400809157,1153.7480165299519,Cardio,13.7,2.5,3
36.0,Female,39.21482783516073,1.6078918896434315,165,159.0,74.0,2.145389913970764,822.8381820173418,Yoga,28.2,1.6,2
51.0,Male,54.93922907007472,1.7504851791492277,196,148.0,74.0,1.502064697905405,569.7325148291791,HIIT,32.1,2.8,4
47.0,Female,45.47690979236279,1.6591689017269593,170,124.0,73.0,0.9137092054170539,733.291619105923,Yoga,27.6,3.5,4
46.0,Male,105.40937526261733,1.7205265452931204,177,129.0,54.0,0.9761153498377939,1171.0880718319324,Strength,18.3,2.6,4
30.0,Male,83.76264247213489,1.5385307469578564,172,148.0,72.0,2.0982422367284808,1050.912015123265,Yoga,14.7,1.7,3
16.0,Female,88.22956085286202,1.9026944475409497,182,162.0,65.0,1.2872970412246836,1197.5403426267558,Strength,27.6,3.6,2
21.0,Male,73.99226732521842,1.8313407262968693,193,122.0,66.0,1.1580382927478978,1030.8362455244971,Cardio,13.7,3.4,5
19.0,Male,43.99261936184227,1.7039456391007253,193,138.0,74.0,1.2745168093646517,723.5189835301646,Yoga,28.0,3.7,2
19.0,Male,74.20906026056443,1.9657251272317402,190,131.0,56.0,1.4590040868385288,1225.0213535187152,Cardio,12.6,3.6,2
52.0,Female,64.9823798627184,1.685331312432712,185,124.0,70.0,1.3695467660300233,1570.733066873715,HIIT,24.0,2.0,4
43.0,Female,40.62709670700261,1.725534852732085,196,133.0,74.0,2.1473696152041057,468.15719957833505,Cardio,12.8,2.5,4
50.0,Female,88.58449686661461,1.7672191734535678,180,165.0,67.0,1.3642043161673945,1253.574386939694,Cardio,24.0,3.5,4
34.0,Female,67.19618012180025,1.7486442773241186,195,169.0,73.0,2.0987339745849796,1100.23554797758,Yoga,30.5,3.2,5
39.0,Male,46.16341842850068,1.473725731447361,194,154.0,74.0,1.201809803162153,684.2515324278841,Cardio,24.0,3.5,2
35.0,Male,50.92450052220058,1.6591306749988042,182,153.0,68.0,1.5561347043533913,1105.0315781773695,Yoga,20.2,1.5,4
20.0,Male,108.18126554257567,1.5237701882429031,192,136.0,71.0,1.5697910887916586,928.189474340512,Cardio,10.0,2.3,5
40.0,Male,74.69053501115017,1.8322696632616875,171,169.0,59.0,1.9052338915272793,1636.074045886765,HIIT,17.0,3.5,5
41.0,Male,78.07427016995658,1.674442926767335,180,137.0,67.0,2.127084935267206,1039.1248328807824,Yoga,28.6,1.8,3
45.0,Male,119.03780117376755,1.7307495118727398,166,146.0,58.0,1.4959720676037154,769.624420450638,HIIT,31.2,2.6,3
36.0,Male,78.47744334596527,1.7710700811447295,190,137.0,58.0,1.3490853969119685,1102.0532441126195,Strength,30.4,3.4,2
43.0,Male,64.36406257496928,1.7702499865221002,188,122.0,73.0,1.6004209418173023,391.0097756733202,HIIT,23.4,1.5,4
17.0,Male,92.24387363839472,1.7840906460269523,175,167.0,74.0,1.682506532936547,830.6906301272656,Cardio,25.3,3.3,4
30.0,Female,54.70398370116581,1.5289422391046184,174,130.0,58.0,2.1885869263121056,1623.2003843650746,Strength,26.9,3.5,3
22.0,Female,81.66921430721374,1.8803620325437946,160,163.0,63.0,2.0286498877847996,965.6686650142587,HIIT,23.5,2.7,4
55.0,Female,66.05691050594875,1.5664804445831362,198,158.0,74.0,1.7835803636494942,1056.4454928290215,Yoga,27.2,3.0,2
21.0,Male,68.57384810843168,1.7738381043807445,187,149.0,74.0,1.5237930870863512,1043.7454604828538,HIIT,17.7,2.4,3
36.0,Female,44.742664948086876,1.6894595399959869,194,145.0,50.0,1.5185057249351308,888.6443264881325,Strength,21.8,1.9,3
49.0,Male,61.76360510415913,1.790543331807339,185,135.0,71.0,1.632653416344341,1163.6528167840816,HIIT,29.7,1.5,4
16.0,Female,44.35466333828264,1.8181046710091606,177,140.0,68.0,2.0428697355398264,1572.5530334112964,Cardio,23.6,3.2,3
30.0,Female,82.53696381211972,1.881943581522658,177,153.0,74.0,0.8145726938732777,781.5319687017254,Strength,25.1,1.6,2
26.0,Male,39.75149836349788,1.5542050735953066,169,146.259322,72.0,1.2430716703312594,1045.619020742036,Strength,10.0,3.1,2
48.0,Female,57.95491887071059,1.624873994829576,181,133.0,74.0,1.3647229451892553,613.6309665392394,Strength,28.2,2.4,4
36.0,Male,75.72723140585008,1.7396637581730934,189,136.0,74.0,1.850845683738784,922.806970532132,HIIT,24.0,1.5,2
23.0,Male,43.369053677842814,1.5498691944316003,195,132.0,57.0,0.6202628657881308,494.2584639471872,Yoga,16.7,3.4,3
27.0,Male,60.803610911511996,1.6496614743256641,178,144.0,61.0,1.416419540916213,886.4627907377055,Strength,24.8,2.4,3
30.0,Female,72.65504173699989,1.893736799263826,195,127.0,53.0,1.9949452747800145,567.2585476566928,Strength,23.1,1.5,3
48.0,Male,53.837270697233386,1.545575605337175,184,167.0,50.0,2.1445171875489777,1055.5876627103967,Strength,14.6,3.5,5
36.0,Male,66.65662045735347,1.4942042120514527,192,132.0,61.0,1.859781778914496,884.9923566613295,HIIT,11.4,1.5,3
13.0,Male,64.43989053405306,1.7022426815219005,163,139.0,70.0,1.2847168127061335,395.4986244600348,Strength,27.4,3.4,2
55.0,Male,54.502642756807106,1.9357288668658625,185,133.0,60.0,2.048522122858966,1082.2260665875635,Yoga,13.1,2.5,3
18.0,Female,91.36779320915832,1.6708389165467485,162,169.0,70.0,1.4792539150295405,1357.6873382250653,Cardio,12.1,1.7,2
40.0,Male,44.02200612349424,1.7093566479128242,180,136.0,74.0,1.059239713004914,1112.713669213268,Yoga,26.0,3.3,3
13.0,Female,46.15811878108779,1.821215507558391,177,140.0,68.0,2.1526197470706947,1236.9074814676194,Cardio,23.6,3.2,3
